1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,2,7,1,6,3,2,1,0,0,8,38,0
1,6,2,9,0,4,0,4,1,0,0,10,38,0
2,4,1,12,0,10,0,4,1,0,0,8,38,1
3,8,2,10,0,6,0,2,1,2,0,8,38,1
4,5,2,6,1,7,1,4,1,0,0,6,38,0
5,13,4,15,0,9,0,4,1,1,0,7,38,1
6,2,2,10,1,7,4,4,0,0,0,8,38,0
7,11,2,4,0,2,0,4,1,0,0,2,38,0
8,14,2,9,0,6,0,4,1,2,0,8,38,1
9,6,0,13,0,0,0,4,1,0,0,8,38,0
10,3,2,9,1,0,1,4,0,0,0,8,38,0
11,9,2,9,0,6,0,4,1,1,0,10,38,1
12,8,2,14,0,3,0,4,1,0,0,10,38,1
13,1,5,10,1,7,3,4,1,0,0,5,38,0
14,8,2,9,0,0,5,4,0,0,0,6,38,0
15,6,2,9,1,6,4,4,0,0,0,4,38,0
16,5,2,13,0,12,0,4,1,0,0,10,38,1
17,5,2,10,1,7,3,2,0,0,0,7,38,0
18,3,2,13,1,9,1,4,1,0,0,9,28,0
19,3,2,13,0,9,0,4,1,0,0,8,38,0
20,8,4,9,0,2,0,4,1,2,0,19,38,1
21,2,2,9,1,0,3,4,1,0,0,4,38,0
22,2,2,9,1,6,4,2,1,0,0,11,38,0
23,11,2,9,0,2,0,4,1,0,0,7,38,0
24,5,4,10,1,9,1,4,1,0,0,13,38,0
25,8,5,10,0,3,0,2,1,2,0,8,38,1
26,11,4,7,1,7,4,4,0,0,0,10,38,0
27,2,4,13,1,11,1,4,1,0,0,10,38,0
28,2,1,10,0,10,0,4,1,0,0,8,38,0
29,3,2,9,1,3,4,4,0,0,0,8,38,0
30,6,1,13,0,9,0,4,1,0,0,8,38,1
31,2,2,3,1,8,1,4,1,0,0,10,12,0
32,0,2,6,1,6,1,4,1,0,0,8,38,0
33,1,2,9,1,2,3,4,1,0,0,8,38,0
34,14,2,14,0,9,0,4,1,0,0,10,38,1
35,8,3,11,0,11,0,4,1,0,0,9,38,1
36,6,2,9,0,4,0,4,1,0,0,8,38,0
37,4,2,7,0,7,0,4,1,0,0,8,38,0
38,1,5,10,1,4,3,4,1,0,0,7,38,0
39,4,2,11,0,9,5,4,0,0,0,8,38,1
40,7,2,4,0,2,0,4,1,0,0,8,25,0
41,11,2,10,0,13,0,4,1,1,0,10,38,0
42,10,2,7,1,8,1,2,0,0,0,4,38,0
43,11,3,9,1,3,1,4,0,0,0,10,38,0
44,1,2,10,1,7,3,4,1,0,0,4,38,0
45,7,2,9,1,5,3,2,1,0,0,8,38,0
46,2,2,10,1,7,3,4,0,0,8,5,38,0
47,2,2,9,1,7,1,4,1,3,0,13,38,1
