p	eps	smooth	err_tdist
90	0.1000	0.904837	84.819202
90	0.1269	0.880825	84.819608
90	0.1610	0.851270	84.820155
90	0.2043	0.815188	84.820904
90	0.2593	0.771596	84.821949
90	0.3290	0.719618	84.823441
90	0.4175	0.658670	84.825638
90	0.5298	0.588704	84.828997
90	0.6723	0.510515	84.834380
90	0.8532	0.426063	84.843564
90	1.0826	0.338701	84.860620
90	1.3738	0.253137	84.896580
90	1.7433	0.174937	84.991081
90	2.2122	0.109458	85.408533
90	2.8072	0.060373	99.372717
90	3.5622	0.028375	210.881131
90	4.5204	0.010885	235.125000
90	5.7362	0.010000	235.661232
90	7.2790	0.010000	235.832392
90	9.2367	0.010000	235.917273
90	11.7210	0.010000	235.959243
90	14.8735	0.010000	235.979949
90	18.8739	0.010000	235.990147
90	23.9503	0.010000	235.995162
90	30.3920	0.010000	235.997626
90	38.5662	0.010000	235.998836
90	48.9390	0.010000	235.999429
90	62.1017	0.010000	235.999720
90	78.8046	0.010000	235.999863
90	100.0000	0.010000	235.999933
