p	eps	smooth	err_tdist
90	0.1000	0.904837	5074.976208
90	0.1269	0.880825	5074.974759
90	0.1610	0.851270	5074.972807
90	0.2043	0.815188	5074.970135
90	0.2593	0.771596	5074.966408
90	0.3290	0.719618	5074.961082
90	0.4175	0.658670	5074.953241
90	0.5298	0.588704	5074.941256
90	0.6723	0.510515	5074.922044
90	0.8532	0.426063	5074.889265
90	1.0826	0.338701	5074.828371
90	1.3738	0.253137	5074.699928
90	1.7433	0.174937	5074.361935
90	2.2122	0.109458	5072.857384
90	2.8072	0.060373	4969.281868
90	3.5622	0.028375	2069.050479
90	4.5204	0.010885	1322.446350
90	5.7362	0.010000	1307.905304
90	7.2790	0.010000	1303.359000
90	9.2367	0.010000	1301.133322
90	11.7210	0.010000	1300.044003
90	14.8735	0.010000	1299.510907
90	18.8739	0.010000	1299.250047
90	23.9503	0.010000	1299.122356
90	30.3920	0.010000	1299.059879
90	38.5662	0.010000	1299.029306
90	48.9390	0.010000	1299.014342
90	62.1017	0.010000	1299.007019
90	78.8046	0.010000	1299.003435
90	100.0000	0.010000	1299.001681
