p	eps	smooth	err_tdist
99	0.1000	0.904837	6823.315002
99	0.1269	0.880825	6823.320382
99	0.1610	0.851270	6823.327631
99	0.2043	0.815188	6823.337553
99	0.2593	0.771596	6823.351396
99	0.3290	0.719618	6823.371175
99	0.4175	0.658670	6823.400295
99	0.5298	0.588704	6823.444803
99	0.6723	0.510515	6823.516153
99	0.8532	0.426063	6823.637880
99	1.0826	0.338701	6823.864009
99	1.3738	0.253137	6824.340943
99	1.7433	0.174937	6825.595695
99	2.2122	0.109458	6831.173936
99	2.8072	0.060373	7143.670928
99	3.5622	0.028375	12523.298744
99	4.5204	0.010885	13792.692721
99	5.7362	0.010000	13818.802410
99	7.2790	0.010000	13827.036605
99	9.2367	0.010000	13831.089221
99	11.7210	0.010000	13833.080974
99	14.8735	0.010000	13834.058891
99	18.8739	0.010000	13834.538679
99	23.9503	0.010000	13834.773945
99	30.3920	0.010000	13834.889260
99	38.5662	0.010000	13834.945762
99	48.9390	0.010000	13834.973440
99	62.1017	0.010000	13834.986995
99	78.8046	0.010000	13834.993633
99	100.0000	0.010000	13834.996883
