sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,type_of_assessment,start,end,event
Male,69,Other,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,327,0
Male,34,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,9,159,1
Male,23,African-American,0,c8,1,0,1,1.0,F,Risk of Recidivism,0,1174,0
Male,43,Other,0,c1,0,0,2,76.0,F,Risk of Recidivism,0,1102,0
Male,44,Other,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,853,0
Male,43,Other,0,c4,0,0,3,1.0,F,Risk of Recidivism,0,265,0
Female,39,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,2,747,0
Male,21,Caucasian,0,c3,0,0,1,308.0,F,Risk of Recidivism,0,428,1
Male,27,Caucasian,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,857,0
Female,37,Caucasian,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,1186,0
Male,41,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,905,0
Male,37,Hispanic,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,739,0
Male,25,African-American,0,c10,0,0,3,1.0,F,Risk of Recidivism,0,463,0
Male,31,Caucasian,0,c5,0,0,6,1.0,F,Risk of Recidivism,0,241,1
Female,21,Caucasian,0,c4,0,0,0,2.0,F,Risk of Recidivism,0,861,0
Male,43,Caucasian,0,c1,0,0,1,1.0,M,Risk of Recidivism,0,1162,0
Male,32,Other,0,c3,0,0,0,1.0,M,Risk of Recidivism,1,1056,0
Male,27,African-American,0,c3,0,0,8,1.0,F,Risk of Recidivism,16,116,0
Female,36,Caucasian,0,c3,0,0,3,95.0,F,Risk of Recidivism,0,53,0
Male,33,African-American,0,c10,0,0,0,1.0,F,Risk of Recidivism,38,215,0
Male,55,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,1,823,0
Male,26,Caucasian,0,c8,0,2,6,382.0,M,Risk of Recidivism,0,81,0
Male,29,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,1171,0
